"Name" -> "Traffic_Accidents_since_2011__counted_by_Street_and_Block"
"ResourceType" -> "DataResource"
"Title" -> "Traffic Accidents in Urbana"
"Description" -> "A table of amounts of traffic accidents group by street and block since 2011"
"Publisher" -> "City of Urbana"
"Source" -> "https://data.urbanaillinois.us/Police/Traffic-Accidents-since-2011-counted-by-Street-and/69bg-enq9"
"Date" -> "2011-"
"Keywords" -> "Text, Traffic, Accident, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Urbana, Illinois"
STREET,HOUSE NUMBER BLOCK,INCIDENT
E FLORIDA,1300 BLOCK,5
CUNNINGHAM,2600 BLOCK,1
W SPRINGFIELD AVE,1000 BLOCK,3
N CUNNINGHAM AVE,1300 BLOCK,1
S LINCOLN AVE,1600 BLOCK,2
US-150,1 BLOCK,5
S LIERMAN,500 BLOCK,1
PHILO RD,2000 BLOCK,8
S HARTLE,100 BLOCK,2
N KENYON RD,2100 BLOCK,7
HILL ST,900 BLOCK,2
CUNNINGHAM AV BLK,900 BLOCK,3
W WINDSOR,100 BLOCK,1
ORCHARD ST,1 BLOCK,1
N CUNNINGHAM AV,2700 BLOCK,6
NEVADA,800 BLOCK,2
W MAIN,800 BLOCK,1
E UNIVERSITY AVE,1 BLOCK,14
CUNNINGHAM,1500 BLOCK,1
S VINE ST,1700 BLOCK,3
HARVEY ST,300 BLOCK,2
W PENNSYLVANIA AV,1 BLOCK,2
W EADS,900 BLOCK,3
NORTH SHORE,2500 BLOCK,3
STONE CREEK,1 BLOCK,9
BRIARCLIFF DR,1300 BLOCK,2
S MATHEWS AVE,100 BLOCK,1
GLOVER AV,400 BLOCK,2
GROVE AV,1 BLOCK,2
E WASHINTON,2000 BLOCK,3
N CUNNINGHAM AVE,2400 BLOCK,1
CUNNINGHAM AV,3300 BLOCK,1
W GREEN,900 BLOCK,3
CUNNINGHAM AV,1700 BLOCK,5
E MICHIGAN AVE,100 BLOCK,7
N KENYON RD,2000 BLOCK,10
