"Name" -> "Traffic_Accidents_since_2011__counted_by_Street_and_Block"
"ResourceType" -> "DataResource"
"Title" -> "Traffic Accidents in Urbana"
"Description" -> "A table of amounts of traffic accidents group by street and block since 2011"
"Publisher" -> "City of Urbana"
"Source" -> "https://data.urbanaillinois.us/Police/Traffic-Accidents-since-2011-counted-by-Street-and/69bg-enq9"
"Date" -> "2011-"
"Keywords" -> "Text, Traffic, Accident, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Urbana, Illinois"
STREET,HOUSE NUMBER BLOCK,INCIDENT
W UNIVERSITY AV,1200 BLOCK,3
CLARK,1 BLOCK,1
S COTTAGE GROVE AV,1700 BLOCK,1
W HIGH,600 BLOCK,2
E MAIN ST,700 BLOCK,1
N LINCOLN AVE,900 BLOCK,2
GROVE,1 BLOCK,2
WINDSOR RD,1700 BLOCK,3
PHILO RD,1700 BLOCK,21
E GREEN ST,1100 BLOCK,1
E ILLINOIS,1 BLOCK,1
N WRIGHT ST,1 BLOCK,3
W PARK,1400 BLOCK,7
N CUNNINGHAM,1100 BLOCK,5
W UNIVERSITY AVE,200 BLOCK,1
N BROADWAY,400 BLOCK,14
W MAIN ST,600 BLOCK,3
S MATHEWS,800 BLOCK,2
N GOODWIN AVE,1 BLOCK,10
S VINE ST,2000 BLOCK,4
CRYSTAL LAKE,1 BLOCK,1
VINE,200 BLOCK,4
OBRIEN DR,1100 BLOCK,4
N LINCOLN,1000 BLOCK,3
PRAIRIE GREEN DR,2500 BLOCK,3
LINCOLN AVE,900 BLOCK,1
BROADWAY N AV,200 BLOCK,3
S URBANA,1 BLOCK,2
CUNNINGHAM AV,2000 BLOCK,17
SPRINGFIELD AVE,1300 BLOCK,1
CUNNINGHAM AVE,1800 BLOCK,4
S PHILO,800 BLOCK,2
PHILO RD,2800 BLOCK,2
HIGH CROSS RD,2600 BLOCK,1
W SPRINGFIELD AV,800 BLOCK,3
S LYNN,900 BLOCK,2
AMBER LANE,1 BLOCK,1
S LIERMAN AVE,1400 BLOCK,3
GREGORY PL,1 BLOCK,3
CUNNINGHAM AVE N M,600 BLOCK,2
BROADWAY,1 BLOCK,19
W SPRINGFIELD,1300 BLOCK,7
W UNIVERSITY,1 BLOCK,16
N COUNTRY CLUB RD,400 BLOCK,1
W PENNSYLVANIA,700 BLOCK,2
E UNIVERSITY AVE,1800 BLOCK,3
RAINBOW CT,1 BLOCK,4
FAIRLAWN DR,900 BLOCK,2
S LINCOLN AVE,300 BLOCK,1
RT 45,1 BLOCK,1
PHILO RD,1500 BLOCK,1
E MAIN ST,800 BLOCK,3
STOUGHTON ST,1000 BLOCK,2
W GREEN ST,800 BLOCK,19
S RACE ST,800 BLOCK,3
W FLORIDA AVE,900 BLOCK,1
LINCOLN AV,1 BLOCK,35
CUNNINGHAM,2000 BLOCK,7
E PENNSYLVANIA AVE,1 BLOCK,1
W UNIVERSITY AV,1400 BLOCK,1
PHILO RD,1400 BLOCK,1
KENYON N RD,2000 BLOCK,3
N LINCOLN AV,600 BLOCK,3
W OREGON,300 BLOCK,2
COLORADO AV,1300 BLOCK,1
E COUNTRY SQUARE,2300 BLOCK,3
W GREEN,1200 BLOCK,3
SPRINGFIELD,1000 BLOCK,1
US-45,1 BLOCK,2
E FLORIDA,700 BLOCK,3
COLER,700 BLOCK,2
W MICHIGAN,800 BLOCK,1
CUNNINGHAM AV,2700 BLOCK,9
E WASHINGTON ST,1100 BLOCK,4
W EADS,1200 BLOCK,1
CUNNINGHAM BL,600 BLOCK,3
N HARVEY,200 BLOCK,1
S BUSEY AV,800 BLOCK,3
HIGH CROSS,1 BLOCK,6
W STOUGHTON ST,900 BLOCK,2
VERMONT AV,200 BLOCK,2
HILL ST,1200 BLOCK,2
PRAIRIE WINDS DR,1900 BLOCK,4
W NEVADA,1100 BLOCK,2
US RTE 150,100 BLOCK,2
S MCCULLOUGH,400 BLOCK,1
E CUNNINGHAM AVE,2700 BLOCK,1
E MICHIGAN AV,300 BLOCK,1
W PENNSYLVANIA AVE,1 BLOCK,1
W STOUGHTON,1000 BLOCK,1
HILL ST,1100 BLOCK,4
S COTTAGE GROVE,1800 BLOCK,3
CUNNINGHAM,2500 BLOCK,4
N BLK LINCOLN,1900 BLOCK,1
W NEVADA,1200 BLOCK,1
PRAIRIE WINDS,1900 BLOCK,3
S WALNUT ST,600 BLOCK,2
E WASHINGTON,600 BLOCK,2
GLOVER AV,1 BLOCK,1
N CUNNINGHAM AV,1400 BLOCK,2
N BROADWAY AV,1400 BLOCK,9
N BUSEY AVE,500 BLOCK,9
N BROADWAY AV,1500 BLOCK,3
CUNNINGHAM,2700 BLOCK,1
INDIANA AVE,600 BLOCK,1
CLARK ST,800 BLOCK,1
S LINCOLN,1100 BLOCK,9
UNIVERSITY,300 BLOCK,2
SUNNY LN,500 BLOCK,4
E MICHIGAN,500 BLOCK,5
WRIGHT,1 BLOCK,3
UNIVERSITY AVE,1200 BLOCK,1
S SMITH RD,1400 BLOCK,2
E MAIN,900 BLOCK,1
SPRINGFIELD AVENUE,1 BLOCK,1
S PHILO RD,1800 BLOCK,17
W SUNNYCREST CT,300 BLOCK,2
E UNIVERSITY AVE,400 BLOCK,5
CRYSTAL LAKE DR,1 BLOCK,2
E UNIVERSITY,1000 BLOCK,1
N LINCOLN AV,1900 BLOCK,36
S BUSEY AVE,500 BLOCK,2
W OHIO,700 BLOCK,2
N LINCOLN AV,1800 BLOCK,1
E WASHINGTON ST,1300 BLOCK,4
W GREEN,1300 BLOCK,1
W PENNSYLVANIA,900 BLOCK,4
COLER AV,1 BLOCK,1
CHATHAM,3100 BLOCK,1
ANTHONY DR,1 BLOCK,2
S PHILO,2500 BLOCK,14
MAIN ST,700 BLOCK,3
E KERR,800 BLOCK,1
W UNIVERSITY AV,500 BLOCK,11
S PHILO RD,1900 BLOCK,5
S VINE,300 BLOCK,1
LINCOLN,300 BLOCK,1
W WASHINGTON ST,1400 BLOCK,4
E UNIVERSITY AVE,600 BLOCK,2
SUNSET DR,1 BLOCK,2
N BROADWAY AVE,400 BLOCK,3
HIGH CROSS S RD,1 BLOCK,1
E ELM ST,400 BLOCK,4
S WEBBER ST,900 BLOCK,2
E UNIVERSITY,300 BLOCK,13
N CUNNINGHAM AVE,900 BLOCK,1
N KENYON,2100 BLOCK,3
S LIERMAN AVE,500 BLOCK,2
S RACE ST,2500 BLOCK,3
N HARVEY,100 BLOCK,1
CUNNINGHAM AVE,600 BLOCK,2
GREENRIDGE DR,1400 BLOCK,2
N MAPLE ST,1 BLOCK,4
VINE ST,1 BLOCK,27
CODDINGTON CR,2700 BLOCK,2
OAKLAND,1 BLOCK,1
E MUMFORD DR,1 BLOCK,3
N GREGORY,1 BLOCK,3
W HIGH,100 BLOCK,2
W ILLINOIS,300 BLOCK,2
S ANDERSON ST,1500 BLOCK,1
S HIGH CROSS RD,100 BLOCK,58
WASHINGTON ST,1 BLOCK,7
S PHILO,2700 BLOCK,2
S COTTAGE GROVE AVE,1600 BLOCK,1
N MCCULLOUGH ST,100 BLOCK,2
S ANDERSON,900 BLOCK,2
E PENNSYLVANIA AV,1 BLOCK,1
E UNIVERITY,1 BLOCK,1
W OREGON ST,1 BLOCK,2
W PARK,500 BLOCK,6
DODSON DR,100 BLOCK,4
N ORCHARD,400 BLOCK,2
W BRADLEY,800 BLOCK,5
E CALIFORNIA AV,700 BLOCK,2
S SMITH,1500 BLOCK,1
KINGSTON,1700 BLOCK,2
E MICHIGAN,1400 BLOCK,2
BEECH ST,1 BLOCK,1
E FAIRLAWN DR,900 BLOCK,1
N CUNNINGHAM,1300 BLOCK,1
GREEN ST,900 BLOCK,2
FAIRLAWN,1 BLOCK,3
E FLORIDA AVE,1700 BLOCK,7
W WINDSOR RD,800 BLOCK,2
S LINCOLN AVE,1000 BLOCK,7
BRIARCLIFF,1 BLOCK,1
SPRINGFIELD AVE,1100 BLOCK,3
S VINE ST,800 BLOCK,4
E UNIVERSITY AVE,1900 BLOCK,1
COUNTRY SQUIRE,1 BLOCK,2
E OREGON,600 BLOCK,2
N ROMINE ST,1500 BLOCK,2
N CUNNINGHAM AV,500 BLOCK,4
S LYNN ST,800 BLOCK,1
KENYON,600 BLOCK,1
VINE,100 BLOCK,1
GOODWIN,1 BLOCK,23
IVANHOE WAY,1300 BLOCK,3
GOODWIN AVE,1 BLOCK,1
CUNNINGHAM AV,800 BLOCK,6
CUNNINGHAM AVE,1900 BLOCK,2
S PHILO,2000 BLOCK,2
MARC TR BL,1600 BLOCK,3
W MAIN ST,400 BLOCK,2
N GOODWIN AV,1 BLOCK,3
W SPRINGFIELD,1100 BLOCK,6
S HIGH CROSS,1 BLOCK,5
FAIRLAWN E DR,1400 BLOCK,2
ORCHARD,1 BLOCK,5
AUSTIN DR,1100 BLOCK,3
E OREGON ST,400 BLOCK,2
FAIRVIEW AVE,800 BLOCK,1
ANDERSON,1 BLOCK,10
N GOODWIN,1200 BLOCK,1
LINCOLN N AV,1500 BLOCK,1
CUNNINGHAM BL,1800 BLOCK,1
ROMINE ST,1 BLOCK,5
E MICHIGAN AVE,1000 BLOCK,1
N LINCOLN,300 BLOCK,2
E CRYSTAL,300 BLOCK,2
N COLER,1200 BLOCK,2
S RACE ST,2000 BLOCK,1
W PARK ST,1 BLOCK,2
PENNSYLVANIA AVE,1 BLOCK,2
E FLORIDA AVE,1500 BLOCK,2
LINCOLN N AV,2600 BLOCK,1
N WALNUT ST,1 BLOCK,4
W WINDSOR RD,1 BLOCK,6
CUNNINGHAM AVE,1500 BLOCK,2
IVANHOE WAY,1600 BLOCK,1
S RACE,1000 BLOCK,4
US 150,100 BLOCK,1
UNIVERSITY,900 BLOCK,4
COTTAGE GROVE S AV,1 BLOCK,2
W VERMONT AVE,100 BLOCK,2
ILLINOIS ST W BLK,600 BLOCK,2
W HIGH ST,1 BLOCK,7
N BUSEY,100 BLOCK,2
W SPRINGFIELD AVE,1300 BLOCK,5
LINCOLN N AV,1900 BLOCK,3
W MAIN ST,500 BLOCK,2
N CUNNINGHAM AVE,1000 BLOCK,3
CUNNINGHAM AV,1 BLOCK,65
STOUT DR,1300 BLOCK,4
LANTERN HILL,2300 BLOCK,2
BUSEY AN,1 BLOCK,1
S VINE ST,1 BLOCK,44
W KILLARNEY,800 BLOCK,3
COTTAGE GROVE,900 BLOCK,2
MCHENRY,1 BLOCK,2
S WEBBER ST,1000 BLOCK,1
E MAIN,300 BLOCK,1
N CUNNINGHAM,1600 BLOCK,8
N GOODWIN,200 BLOCK,1
N SMITH,100 BLOCK,1
GRIGGS ST,1 BLOCK,2
KERR AVE,600 BLOCK,3
S RACE ST,2900 BLOCK,1
FAIRVIEW AVE,1 BLOCK,4
N LINCOLN BL,1300 BLOCK,1
PHILO RD,1800 BLOCK,36
N GOODWIN AV,800 BLOCK,3
E VERMONT,2000 BLOCK,2
WINDSOR RD,1800 BLOCK,5
CUNNINGHAM,1 BLOCK,120
W PARK ST,800 BLOCK,4
N LINCOLN,700 BLOCK,3
MAIN,1 BLOCK,53
UNIVERSITY E AV,400 BLOCK,1
N UNIVERSITY AVE,1 BLOCK,3
CUNNINGHAM AVE,1700 BLOCK,3
BIRCH,1 BLOCK,2
S MILLS DR,2100 BLOCK,1
S BUSEY,1 BLOCK,1
N CUNNINGHAM,100 BLOCK,1
W ELM ST,500 BLOCK,2
S ANDERSON,1000 BLOCK,2
E CUNNINGHAM AV,300 BLOCK,1
S ORCHARD,1000 BLOCK,1
W COUNTRY CLUB RD,1 BLOCK,1
SPRINGFIELD AV,1200 BLOCK,1
W ILLINOIS ST,200 BLOCK,2
N BROADWAY,1500 BLOCK,3
S LINCOLN AVE,900 BLOCK,4
FAIRLAWN DR,300 BLOCK,2
SPRINGFIELD AV,1100 BLOCK,1
UNIVERSITY AVE,100 BLOCK,1
VINE S ST,1 BLOCK,1
E AIRPORT RD,700 BLOCK,1
W FLORIDA AVE,300 BLOCK,1
MELROSE,1700 BLOCK,3
W WASCHER,800 BLOCK,4
S LINCOLN,100 BLOCK,5
W IOWA ST,400 BLOCK,3
S GROVE,1 BLOCK,2
SUNSET DR,800 BLOCK,1
E UNIVERSITY,700 BLOCK,3
S PHILO RD,1700 BLOCK,11
S GOODWIN AVE,700 BLOCK,2
SMITH S RD,1000 BLOCK,3
N URBANA,100 BLOCK,2
S BUSEY AVE,600 BLOCK,3
E FAIRLAWN,700 BLOCK,2
S PHILO RD,1400 BLOCK,1
S POPLAR ST,300 BLOCK,2
AMBER LN,2000 BLOCK,6
E COUNTRY CLUB,300 BLOCK,3
N DIVISION AVE,800 BLOCK,3
VINE ST,800 BLOCK,2
COLORADO AVE,1 BLOCK,4
WATER,1 BLOCK,1
OAKLAND,800 BLOCK,5
W OREGON ST,800 BLOCK,2
W KENYON RD,1400 BLOCK,2
HARVEY,1 BLOCK,2
W BRADLEY,1 BLOCK,1
FLORIDA W AV,1100 BLOCK,1
S COTTAGE GROVE,1700 BLOCK,3
N CUNNINGHAM AV,1800 BLOCK,1
N GREGORY BLK,100 BLOCK,2
N VINE ST,200 BLOCK,64
N MATHEWS AVE,700 BLOCK,2
E UNIVERSITY AVE,2200 BLOCK,3
FAIRVIEW AV,1 BLOCK,7
S LINCOLN,1600 BLOCK,2
W CLARK ST,1 BLOCK,4
W UNIVERSITY AV,400 BLOCK,7
ILLINOIS ST,1000 BLOCK,3
FLORIDA AV,1100 BLOCK,4
S LIERMAN,1 BLOCK,5
W OREGON,700 BLOCK,2
N KENYON,1 BLOCK,1
N CUNNINGHAM AV,1900 BLOCK,4
E WASHINGTON,2200 BLOCK,2
WINDSOR,1 BLOCK,15
S BUSEY AVE,400 BLOCK,1
N LINCOLN AVE,1000 BLOCK,2
E UNIVERSITY AVE,500 BLOCK,2
I-74,1 BLOCK,9
WATER ST,100 BLOCK,3
W KILLARNEY ST,1 BLOCK,1
W PENNSYLVANIA AVE,800 BLOCK,1
N LINCOLN AVE,3200 BLOCK,2
N LINCOLN AV,2600 BLOCK,3
S LIERMAN AV,900 BLOCK,2
STEBBINS DR,100 BLOCK,3
E HARDING DR,900 BLOCK,5
S LINCOLN,200 BLOCK,3
W UNIVERSITY AV,600 BLOCK,2
E MCHENRY ST,1400 BLOCK,2
S BUSEY AV,1 BLOCK,2
N LINCOLN AV,1500 BLOCK,10
N LINCOLN,900 BLOCK,5
WILLARD,1200 BLOCK,1
W IOWA,100 BLOCK,2
LAKE,1 BLOCK,1
E LINCOLN AVE,1 BLOCK,1
CLARK ST,1 BLOCK,2
W PARK,600 BLOCK,12
GLOVER AV,800 BLOCK,2
UNIVERSITY,700 BLOCK,1
STEBBINS,800 BLOCK,2
BUSEY,1 BLOCK,12
W FLORIDA AVE,1000 BLOCK,3
N RACE ST,1 BLOCK,3
W BRADLEY AVE,1200 BLOCK,1
W UNIVERISTY,500 BLOCK,3
W GREEN,200 BLOCK,5
E PENNSYLVANIA,200 BLOCK,2
N VINE ST,100 BLOCK,22
E MUMFORD,1400 BLOCK,2
MAPLE ST,1 BLOCK,3
STOUGHTON ST,900 BLOCK,5
DELAWARE,1 BLOCK,1
E SCOVILL S,1100 BLOCK,1
130,1 BLOCK,3
GLOVER,600 BLOCK,2
E WASHINGTON,1500 BLOCK,34
N BUSEY AV,800 BLOCK,1
ZUPPKE,2100 BLOCK,3
N DIVISION,800 BLOCK,3
HIGH,500 BLOCK,2
S MCCULLOUGH ST/W,1 BLOCK,1
N BROADWAY AV,600 BLOCK,1
SCOVILL,1 BLOCK,1
AIRPORT,1 BLOCK,2
E WASHINGTON,1400 BLOCK,11
PHILO RD,1900 BLOCK,6
N VINE,300 BLOCK,1
W SPRINGFIELD AVE,1200 BLOCK,1
ANDERSON ST,900 BLOCK,1
W STOUGHTON,900 BLOCK,5
EADS,1 BLOCK,2
HUNTER ST,1700 BLOCK,1
GOLFVIEW DR,1 BLOCK,1
I74,1 BLOCK,2
W SPRINGFIELD AVE,1100 BLOCK,1
N BROADWAY AVE,1500 BLOCK,2
W STOUGHTON ST,1000 BLOCK,6
KERR,1 BLOCK,3
MCCULLOUGH,1 BLOCK,7
S GOODWIN AV,700 BLOCK,5
W UNIVERSITY,800 BLOCK,9
S RACE,300 BLOCK,8
PERKINS RD,1500 BLOCK,6
E HARDING,1200 BLOCK,1
S PHILO,1 BLOCK,6
S LINCOLN AVE,700 BLOCK,7
S GLOVER,800 BLOCK,3
ANTHONY DR,2500 BLOCK,1
W SPRINGFIELD AV,1 BLOCK,5
HUNTER ST,1500 BLOCK,6
E OAKLAND AVE,600 BLOCK,4
COUNTRY SQUIRE DR,2100 BLOCK,2
S RACE ST,1 BLOCK,22
W GREEN ST,1 BLOCK,19
E UNIVERSITY,900 BLOCK,3
N LYNN ST,100 BLOCK,7
W UNIVERSITY AVE,1100 BLOCK,6
UNKNOWN,1 BLOCK,14
N CUNNINGHAM,200 BLOCK,1
W NEVADA ST,600 BLOCK,1
E WASHINGTON,1700 BLOCK,1
N BROADWAY,500 BLOCK,2
W UNIVERSITY AVE,1200 BLOCK,13
E MAIN ST,1 BLOCK,43
N MATHEWS AV,300 BLOCK,1
E MAIN,1000 BLOCK,1
N RACE S,1 BLOCK,1
E ILLINOIS ST,200 BLOCK,5
E AIRPORT RD,900 BLOCK,2
